distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
0.911512,0.000022,2,3.258757,-3.569714,-50.811562,-0.415837
0.915218,-0.000128,2,3.255482,-3.571446,-50.814835,-0.417524
0.918923,0.000288,2,3.252206,-3.573179,-50.818108,-0.419212
0.922628,0.000913,2,3.248931,-3.574911,-50.821380,-0.420899
0.926334,0.002141,2,3.245656,-3.576644,-50.824653,-0.422587
0.930039,0.003100,2,3.242380,-3.578376,-50.827926,-0.424274
0.933744,0.003953,2,3.239105,-3.580109,-50.831198,-0.425962
0.937450,0.004369,2,3.235830,-3.581841,-50.834471,-0.427649
0.941155,0.004786,2,3.232554,-3.583574,-50.837744,-0.429337
0.944860,0.005202,2,3.229279,-3.585306,-50.841016,-0.431024
0.948566,0.005567,2,3.226004,-3.587039,-50.844289,-0.432712
0.952271,0.006183,2,3.222728,-3.588771,-50.847562,-0.434399
0.955976,0.007573,2,3.219453,-3.590504,-50.850834,-0.436087
0.959682,0.008919,2,3.216178,-3.592236,-50.854107,-0.437774
0.963387,0.010012,2,3.212902,-3.593969,-50.857380,-0.439462
0.967092,0.009985,2,3.209627,-3.595701,-50.860652,-0.441149
0.970798,0.010242,2,3.206351,-3.597434,-50.863925,-0.442837
0.974503,0.010705,2,3.203076,-3.599166,-50.867198,-0.444524
0.978208,0.011212,2,3.199801,-3.600899,-50.870470,-0.446212
0.981914,0.011473,2,3.196525,-3.602631,-50.873743,-0.447899
0.985619,0.012713,2,3.193250,-3.604364,-50.877015,-0.449587
0.989324,0.014679,2,3.189975,-3.606096,-50.880288,-0.451274
0.993030,0.016924,2,3.186699,-3.607829,-50.883561,-0.452962
0.996735,0.019085,2,3.183424,-3.609561,-50.886833,-0.454649
1.000440,0.022172,2,3.180149,-3.611294,-50.890106,-0.456337
1.004146,0.024365,2,3.176873,-3.613026,-50.893379,-0.458024
1.007851,0.026878,2,3.173598,-3.614759,-50.896651,-0.459712
1.011556,0.029312,2,3.170323,-3.616491,-50.899924,-0.461399
1.015262,0.031358,2,3.167047,-3.618224,-50.903197,-0.463087
1.018967,0.032772,2,3.163772,-3.619956,-50.906469,-0.464774
1.022672,0.033500,2,3.160497,-3.621689,-50.909742,-0.466462
1.026378,0.032486,2,3.157221,-3.623421,-50.913015,-0.468149
1.030083,0.030668,2,3.153946,-3.625154,-50.916287,-0.469837
1.033788,0.028555,2,3.150670,-3.626886,-50.919560,-0.471524
1.037494,0.027238,2,3.147395,-3.628619,-50.922833,-0.473212
1.041199,0.026386,2,3.144120,-3.630351,-50.926105,-0.474899
1.044904,0.025005,2,3.140844,-3.632084,-50.929378,-0.476587
1.048610,0.023237,2,3.137569,-3.633816,-50.932651,-0.478274
1.052315,0.021205,2,3.134294,-3.635549,-50.935923,-0.479962
1.056020,0.018164,2,3.131018,-3.637281,-50.939196,-0.481649
1.059726,0.015935,2,3.127743,-3.639014,-50.942469,-0.483337
1.063431,0.014527,2,3.124468,-3.640746,-50.945741,-0.485024
1.067136,0.014172,2,3.121192,-3.642479,-50.949014,-0.486712
1.070842,0.014327,2,3.117917,-3.644211,-50.952287,-0.488400
1.074547,0.014795,2,3.114642,-3.645944,-50.955559,-0.490087
1.078252,0.014929,2,3.111366,-3.647676,-50.958832,-0.491775
1.081958,0.014789,2,3.108091,-3.649409,-50.962105,-0.493462
1.085663,0.013583,2,3.104816,-3.651141,-50.965377,-0.495150
1.089368,0.012124,2,3.101540,-3.652874,-50.968650,-0.496837
1.093074,0.011291,2,3.098265,-3.654606,-50.971923,-0.498525
1.096779,0.009588,2,3.094989,-3.656339,-50.975195,-0.500212
1.100484,0.009380,2,3.091714,-3.658071,-50.978468,-0.501900
1.104190,0.009431,2,3.088439,-3.659804,-50.981741,-0.503587
1.107895,0.009480,2,3.085163,-3.661536,-50.985013,-0.505275
1.111600,0.008873,2,3.081888,-3.663269,-50.988286,-0.506962
1.115306,0.007710,2,3.078613,-3.665001,-50.991559,-0.508650
1.119011,0.007475,2,3.075337,-3.666734,-50.994831,-0.510337
